Gene	annotation	synonym
b3949	putative PTS enzyme IIC component FrwC	frwC
b3950	putative PTS enzyme IIB component FrwB	frwB
b3951	putative formate acetyltransferase 2	pflD
b3952	putative pyruvate formate-lyase 2 activating enzyme PflC	pflC
b3953	putative PTS enzyme IIB component FrwD	frwD
b3954	putative DNA-binding transcriptional regulator YijO	yijO
b3955	phosphoethanolamine transferase EptC	eptC
b3956	phosphoenolpyruvate carboxylase	ppc
b3957	acetylornithine deacetylase	argE
b3958	N-acetylglutamylphosphate reductase	argC
b3959	acetylglutamate kinase	argB
b3960	argininosuccinate lyase	argH
b3961	DNA-binding transcriptional dual regulator OxyR	oxyR
b3962	soluble pyridine nucleotide transhydrogenase	sthA
b3963	DNA-binding transcriptional repressor FabR	fabR
b3964	conserved inner membrane protein YijD	yijD
b3965	tRNA m(5)U54 methyltransferase	trmA
b3966	cobalamin/cobinamide outer membrane transporter	btuB
b3967	glutamate racemase	murI
b3972	UDP-N-acetylenolpyruvoylglucosamine reductase	murB
b3973	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA	birA
b3974	pantothenate kinase	coaA
b3980	translation elongation factor Tu 2	tufB
b3981	Sec translocon subunit SecE	secE
b3982	transcription termination factor NusG	nusG
b3983	50S ribosomal subunit protein L11	rplK
b3984	50S ribosomal subunit protein L1	rplA
b3985	50S ribosomal subunit protein L10	rplJ
b3986	50S ribosomal subunit protein L12	rplL
b3987	RNA polymerase subunit beta	rpoB
b3988	RNA polymerase subunit beta'	rpoC
b3989	conserved protein YjaZ	yjaZ
b3990	2-iminoacetate synthase	thiH
b3991	1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase	thiG
b4407	sulfur carrier protein ThiS	thiS
b3992	ThiS adenylyltransferase	thiF
b3993	thiamine phosphate synthase	thiE
b3994	phosphomethylpyrimidine synthase	thiC
b3995	regulator of sigma D	rsd
b3996	NADH pyrophosphatase	nudC
b3997	uroporphyrinogen decarboxylase	hemE
b3998	endonuclease V	nfi
b3999	conserved protein YjaG	yjaG
b4000	DNA-binding protein HU-alpha	hupA
b4001	DUF1481 domain-containing protein YjaH	yjaH
b4002	zinc responsive%2C periplasmic protein with chaperone activity	zraP
b4003	sensory histidine kinase ZraS	zraS
b4004	DNA-binding transcriptional activator ZraR	zraR
b4005	phosphoribosylamine--glycine ligase	purD
b4006	bifunctional AICAR transformylase/IMP cyclohydrolase	purH
b4011	stress response protein	yjaA
b4012	putative N-acetyltransferase YjaB	yjaB
b4013	homoserine O-succinyltransferase	metA
b4014	malate synthase A	aceB
b4015	isocitrate lyase	aceA
b4016	isocitrate dehydrogenase kinase/phosphatase	aceK
b4017	regulator of acetyl CoA synthetase	arpA
b4018	DNA-binding transcriptional repressor IclR	iclR
b4019	cobalamin-dependent methionine synthase	metH
b4020	putative inorganic phosphate export protein	yjbB
b4021	peptidase E	pepE
b4022	23S rRNA pseudouridine(2604) and tRNA(Tyr) pseudouridine(35) synthase	rluF
b4023	conserved protein YjbD	yjbD
b4024	aspartate kinase III	lysC
b4025	glucose-6-phosphate isomerase	pgi
b4026	uncharacterized protein YjbE	yjbE
b4027	lipoprotein YjbF	yjbF
b4028	capsule biosynthesis GfcC family protein YjbG	yjbG
b4029	YjbH family protein	yjbH
b4620	PF17089 family protein YjbT	yjbT
b4030	putative phosphate starvation-inducible protein	psiE
b4031	D-xylose:H(+) symporter	xylE
b4032	maltose ABC transporter membrane subunit MalG	malG
b4033	maltose ABC transporter membrane subunit MalF	malF
b4034	maltose ABC transporter periplasmic binding protein	malE
b4035	maltose ABC transporter ATP binding subunit	malK
b4036	maltose outer membrane channel/phage lambda receptor protein	lamB
b4037	maltose regulon periplasmic protein	malM
b4038	pentapeptide repeats-containing protein YjbI	yjbI
b4039	chorismate lyase	ubiC
b4040	4-hydroxybenzoate octaprenyltransferase	ubiA
b4041	glycerol-3-phosphate 1-O-acyltransferase	plsB
b4042	diacylglycerol kinase	dgkA
b4043	DNA-binding transcriptional repressor LexA	lexA
b4044	DNA damage-inducible protein F	dinF
b4045	putative stress response protein	yjbJ
b4046	DNA-binding transcriptional repressor Zur	zur
b4047	uncharacterized protein YjbL	yjbL
b4048	uncharacterized protein YjbM	yjbM
b4049	tRNA-dihydrouridine synthase A	dusA
b4050	phage shock protein G	pspG
b4051	putative quinone oxidoreductase 1	qorA
b4052	replicative DNA helicase	dnaB
b4053	alanine racemase 1	alr
b4054	tyrosine aminotransferase	tyrB
b4621	uncharacterized protein YjbS	yjbS
b4055	acid phosphatase/phosphotransferase	aphA
b4056	UPF0047 protein YjbQ	yjbQ
b4057	PF04237 family protein YjbR	yjbR
b4058	excision nuclease subunit A	uvrA
b4059	ssDNA-binding protein	ssb
b4060	uncharacterized protein YjcB	yjcB
b4061	c-di-GMP phosphodiesterase PdeC	pdeC
b4062	DNA-binding transcriptional dual regulator SoxS	soxS
b4063	DNA-binding transcriptional dual regulator SoxR	soxR
b4064	guanine/hypoxanthine transporter GhxP	ghxP
b4065	putative transporter YjcE	yjcE
b4066	pentapeptide repeat-containing protein YjcF	yjcF
b4067	acetate/glycolate:cation symporter	actP
b4068	conserved inner membrane protein YjcH	yjcH
b4069	acetyl-CoA synthetase (AMP-forming)	acs
b4070	cytochrome c552 nitrite reductase	nrfA
b4071	periplasmic nitrite reductase penta-heme c-type cytochrome	nrfB
b4072	putative menaquinol-cytochrome c reductase 4Fe-4S subunit	nrfC
b4073	putative menaquinol-cytochrome c reductase subunit NrfD	nrfD
b4074	putative cytochrome c-type biogenesis protein NrfE	nrfE
b4075	putative formate-dependent nitrite reductase complex subunit NrfF	nrfF
b4076	putative formate-dependent nitrite reductase complex subunit NrfG	nrfG
b4077	glutamate/aspartate : H(+) symporter GltP	gltP
b4078	Sel1 repeat-containing protein YjcO	yjcO
b4079	formate dehydrogenase H	fdhF
b4080	putative multidrug efflux pump outer membrane channel	mdtP
b4081	putative multidrug efflux pump subunit MdtO	mdtO
b4082	putative multidrug efflux pump membrane fusion protein	mdtN
b4622	putative lipoprotein YtcA	ytcA
b4083	alkyl sulfatase	yjcS
b4084	D-allose kinase	alsK
b4085	D-allulose-6-phosphate 3-epimerase	alsE
b4086	D-allose ABC transporter membrane subunit	alsC
b4087	D-allose ABC transporter ATP binding subunit	alsA
b4088	D-allose ABC transporter periplasmic binding protein	alsB
b4089	DNA-binding transcriptional repressor AlsR	alsR
b4090	allose-6-phosphate isomerase/ribose-5-phosphate isomerase B	rpiB
b4487	protein YjdP	yjdP
b4092	5-phospho-alpha-D-ribosyl 1%2C2-cyclic phosphate phosphodiesterase	phnP
b4093	aminoalkylphosphonate N-acetyltransferase	phnO
b4094	ribose 1%2C5-bisphosphate phosphokinase	phnN
b4095	RPnTP hydrolase	phnM
b4096	methylphosphonate degradation complex subunit PhnL	phnL
b4097	carbon-phosphorus lyase subunit PhnK	phnK
b4098	carbon-phosphorus lyase core complex subunit PhnJ	phnJ
b4099	carbon-phosphorus lyase core complex subunit PhnI	phnI
b4100	carbon-phosphorus lyase core complex subunit PhnH	phnH
b4101	carbon-phosphorus lyase core complex subunit PhnG	phnG
b4102	putative transcriptional regulator PhnF	phnF
b4583	phosphonate ABC transporter membrane subunit	phnE
b4105	phosphonate ABC transporter periplasmic binding protein	phnD
b4106	phosphonate ABC transporter ATP binding subunit	phnC
b4107	conserved protein YjdN	yjdN
b4108	conserved protein YjdM	yjdM
b4109	clamp-binding sister replication fork colocalization protein	crfC
b4110	uncharacterized protein YjcZ	yjcZ
b4111	osmolyte:H(+) symporter ProP	proP
b4703	putative bitopic inner membrane protein	pmrR
b4112	sensory histidine kinase BasS	basS
b4113	DNA-binding transcriptional dual regulator BasR	basR
b4114	phosphoethanolamine transferase EptA	eptA
b4115	arginine:agmatine antiporter	adiC
b4116	DNA-binding transcriptional activator AdiY	adiY
b4117	arginine decarboxylase%2C degradative	adiA
b4118	DNA-binding transcriptional dual regulator MelR	melR
b4119	alpha-galactosidase	melA
b4120	melibiose:H(+)/Na(+)/Li(+) symporter	melB
b4121	conserved inner membrane protein YjdF	yjdF
b4122	fumarase B	fumB
b4123	anaerobic C4-dicarboxylate transporter DcuB	dcuB
b4124	DNA-binding transcriptional activator DcuR	dcuR
b4125	sensory histidine kinase DcuS	dcuS
b4126	PF06902 family protein YjdI	yjdI
b4127	putative N-acetyltransferase YjdJ	yjdJ
b4128	antitoxin of the GhoTS toxin-antitoxin system	ghoS
b4559	toxin of the GhoTS toxin-antitoxin system	ghoT
b4129	lysine--tRNA ligase/Ap4A synthetase/Ap3A synthetase	lysU
b4130	dipeptide/tripeptide:H(+) symporter DtpC	dtpC
b4131	lysine decarboxylase 1	cadA
b4132	lysine:cadaverine antiporter	cadB
b4133	DNA-binding transcriptional activator CadC	cadC
b4135	putative DNA-binding transcriptional regulator YjdC	yjdC
b4136	protein disulfide oxidoreductase - DsbDreduced	dsbD
b4137	copper binding protein CutA	cutA
b4138	C4-dicarboxylate transporter DcuA	dcuA
b4139	aspartate ammonia-lyase	aspA
b4140	protein FxsA	fxsA
b4141	L-methionine/branched chain amino acid exporter	yjeH
b4142	cochaperonin GroES	groS
b4143	chaperonin GroEL	groL
b4144	DUF4156 domain-containing lipoprotein YjeI	yjeI
b4145	protein YjeJ	yjeJ
b4146	lysine 2%2C3-aminomutase	epmB
b4147	protein chain elongation factor EF-P	efp
b4410	entericidin A lipoprotein%2C antidote to entericidin B	ecnA
b4411	bacteriolytic entericidin B lipoprotein	ecnB
b4148	guanidinium exporter	gdx
b4149	outer membrane lipoprotein Blc	blc
b4150	beta-lactamase	ampC
b4151	fumarate reductase membrane protein FrdD	frdD
b4152	fumarate reductase membrane protein FrdC	frdC
b4153	fumarate reductase iron-sulfur protein	frdB
b4154	fumarate reductase flavoprotein subunit	frdA
b4155	EF-P-lysine lysyltransferase	epmA
b4156	putative transporter YjeM	yjeM
b4157	protein YjeN	yjeN
b4158	conserved inner membrane protein YjeO	yjeO
b4159	miniconductance mechanosensitive channel MscM	mscM
b4160	phosphatidylserine decarboxylase proenzyme	psd
b4161	ribosome small subunit-dependent GTPase A	rsgA
b4162	oligoribonuclease	orn
b4670	uncharacterized protein YjeV	yjeV
b4166	epoxyqueuosine reductase	queG
b4167	NAD(P)HX epimerase/NAD(P)HX dehydratase	nnr
b4168	N(6)-L-threonylcarbamoyladenine synthase%2C TsaE subunit	tsaE
b4169	N-acetylmuramoyl-L-alanine amidase B	amiB
b4170	DNA mismatch repair protein MutL	mutL
b4171	tRNA dimethylallyltransferase	miaA
b4172	RNA-binding protein Hfq	hfq
b4173	ribosome rescue factor HflX	hflX
b4174	regulator of FtsH protease	hflK
b4175	regulator of FtsH protease	hflC
b4176	DUF2065 domain-containing protein YjeT	yjeT
b4177	adenylosuccinate synthetase	purA
b4178	DNA-binding transcriptional repressor NsrR	nsrR
b4179	RNase R	rnr
b4180	23S rRNA 2'-O-ribose G2251 methyltransferase	rlmB
b4181	conserved protein YjfI	yjfI
b4182	putative transcriptional regulator effector protein	yjfJ
b4183	conserved protein YjfK	yjfK
b4184	conserved inner membrane protein YjfL	yjfL
b4185	DUF1190 domain-containing protein YjfM	yjfM
b4186	putative acid--amine ligase YjfC	yjfC
b4187	putative acyl-CoA dehydrogenase AidB	aidB
b4188	protease activator	yjfN
b4189	DUF1471 domain-containing putative lipoprotein BsmA	bsmA
b4190	carboxylesterase	yjfP
b4191	DNA-binding transcriptional repressor UlaR	ulaR
b4192	L-ascorbate-6-phosphate lactonase	ulaG
b4193	L-ascorbate specific PTS enzyme IIC component	ulaA
b4194	L-ascorbate specific PTS enzyme IIB component	ulaB
b4195	L-ascorbate specific PTS enzyme IIA component	ulaC
b4196	3-keto-L-gulonate-6-phosphate decarboxylase UlaD	ulaD
b4197	L-ribulose-5-phosphate 3-epimerase UlaE	ulaE
b4198	L-ribulose-5-phosphate 4-epimerase UlaF	ulaF
b4199	DUF1471 domain-containing protein YjfY	yjfY
b4200	30S ribosomal subunit protein S6	rpsF
b4201	primosomal replication protein N	priB
b4202	30S ribosomal subunit protein S18	rpsR
b4203	50S ribosomal subunit protein L9	rplI
b4204	protein YjfZ	yjfZ
b4205	putative transcriptional regulator YtfA	ytfA
b4206	cell division protein YtfB	ytfB
b4207	FKBP-type peptidyl-prolyl cis-trans isomerase FklB	fklB
b4208	serine/alanine/glycine/cycloserine:H(+)symporter	cycA
b4209	iron-sulfur cluster repair protein YtfE	ytfE
b4210	inner membrane protein YtfF	ytfF
b4211	NAD(P)H:quinone oxidoreductase	qorB
b4212	putative transcriptional regulator YtfH	ytfH
b4213	2'3' cyclic nucleotide phosphodiesterase/3' nucleotidase	cpdB
b4214	3'(2')%2C5'-bisphosphate nucleotidase	cysQ
b4215	protein YtfI	ytfI
b4216	protein YtfJ	ytfJ
b4217	DUF1107 domain-containing protein YtfK	ytfK
b4218	putative inner membrane protein	ytfL
b4219	methionine sulfoxide reductase A	msrA
b4220	translocation and assembly module subunit TamA	tamA
b4221	translocation and assembly module subunit TamB	tamB
b4222	gamma-glutamylamine cyclotransferase family protein YtfP	ytfP
b4223	putative YjfA	yzfA
b4224	ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system	chpS
b4225	endoribonuclease toxin ChpB	chpB
b4226	inorganic pyrophosphatase	ppa
b4227	galactofuranose ABC transporter periplasmic binding protein	ytfQ
b4485	galactofuranose ABC transporter putative ATP binding subunit	ytfR
b4230	galactofuranose ABC transporter putative membrane subunit YtfT	ytfT
b4231	galactofuranose ABC transporter putative membrane subunit YjtF	yjfF
b4232	fructose-1%2C6-bisphosphatase 1	fbp
b4233	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2%2C6-diaminoheptanedioate ligase	mpl
b4234	DUF615 domain-containing protein YjgA	yjgA
b4235	metalloprotease PmbA	pmbA
b4237	anaerobic ribonucleoside-triphosphate reductase activating protein	nrdG
b4238	anaerobic ribonucleoside-triphosphate reductase	nrdD
b4239	trehalose-6-phosphate hydrolase	treC
b4240	trehalose-specific PTS enzyme IIBC component	treB
b4241	DNA-binding transcriptional repressor TreR	treR
b4702	leader peptide MgtL	mgtL
b4242	Mg(2(+)) importing P-type ATPase	mgtA
b4243	enamine/imine deaminase%2C redox regulated chaperone	ridA
b4244	aspartate carbamoyltransferase%2C PyrI subunit	pyrI
b4245	aspartate carbamoyltransferase catalytic subunit	pyrB
b4246	pyrBI operon leader peptide	pyrL
b4248	RutC family protein YjgH	yjgH
b4249	c-di-GMP-binding biofilm dispersal mediator protein	bdcA
b4251	putative transcriptional regulator BdcR	bdcR
b4252	DUF386 domain-containing toxin-antitoxin biofilm protein TabA	tabA
b4253	protein YjgL	yjgL
b4254	ornithine carbamoyltransferase ArgI	argI
b4255	ribonuclease E inhibitor protein B	rraB
b4256	putative acetyltransferase YjgM	yjgM
b4257	conserved inner membrane protein YjgN	yjgN
b4258	valine--tRNA ligase	valS
b4259	DNA polymerase III subunit chi	holC
b4260	aminopeptidase A/I	pepA
b4261	lipopolysaccharide transport system protein LptF	lptF
b4262	lipopolysaccharide transport system protein LptG	lptG
b4263	DUF853 domain-containing protein YjgR	yjgR
b4264	DNA-binding transcriptional dual regulator IdnR	idnR
b4265	L-idonate/5-ketogluconate/gluconate transporter	idnT
b4266	5-keto-D-gluconate 5-reductase	idnO
b4267	L-idonate 5-dehydrogenase	idnD
b4268	D-gluconate kinase%2C thermosensitive	idnK
b4269	aldehyde reductase%2C NADPH-dependent	ahr
b4271	KpLE2 phage-like element%3B putative integrase	intB
b4272	KpLE2 phage-like element%3B IS2 insertion element repressor InsA	insC-6
b4273	KpLE2 phage-like element%3B IS2 insertion element protein InsB	insD-6
b4575	KpLE2 phage-like element%3B putative phosphoethanolamine transferase YjgX%2C N-terminal fragment	yjgX
b4277	KpLE2 phage-like element%3B uncharacterized protein YjgZ	yjgZ
b4278	KpLE2 phage-like element%3B IS4 putative transposase	insG
b4279	putative sialic acid transporter	yjhB
b4280	KpLE2 phage-like element%3B putative oxidoreductase YjhC	yjhC
b4655	KpLE2 phage-like element%3B uncharacterized protein YthA	ythA
b4281	KpLE2 phage-like element%3B surface adhesin E-like protein	yjhD
b4282	KpLE2 phage-like element%3B putative membrane protein (pseudogene)	yjhE
b4623	KpLE2 phage-like element%3B IS911B regulator fragment	insO
b4284	KpLE2 phage-like element%3B IS30 transposase	insI-3
b4286	KpLE2 phage-like element%3B putative uncharacterized protein YjhV	yjhV
b4287	ferric citrate ABC transporter ATP binding subunit	fecE
b4288	ferric citrate ABC transporter membrane subunit FecD	fecD
b4289	ferric citrate ABC transporter membrane subunit FecC	fecC
b4290	ferric citrate ABC transporter periplasmic binding protein	fecB
b4291	ferric citrate outer membrane transporter	fecA
b4292	regulator for fec operon%2C periplasmic	fecR
b4293	RNA polymerase sigma factor FecI	fecI
b4294	KpLE2 phage-like element%3B IS1 repressor protein InsA	insA-7
b4295	KpLE2 phage-like element%3B putative DNA-binding transcriptional regulator YjhU	yjhU
b4296	KpLE2 phage-like element%3B putative transporter YjhF	yjhF
b4297	KpLE2 phage-like element%3B D-xylonate dehydratase	yjhG
b4298	KpLE2 phage-like element%3B putative 2-dehydro-3-deoxy-D-pentonate aldolase	yjhH
b4299	KpLE2 phage-like element%3B putative DNA-binding transcriptional regulator YjhI	yjhI
b4300	KpLE2 phage-like element%3B putative DNA-binding transcriptional regulator SgcR	sgcR
b4301	KpLE2 phage-like element%3B putative epimerase SgcE	sgcE
b4302	putative PTS enzyme IIA component SgcA	sgcA
b4303	KpLE2 phage-like element%3B putative nucleoside triphosphatase	sgcQ
b4304	putative PTS enzyme IIC component SgcC	sgcC
b4565	putative PTS enzyme IIB component SgcB	sgcB
b4305	KpLE2 phage-like element%3B putative endoglucanase with Zn-dependent exopeptidase domain	sgcX
b4306	KpLE2 phage-like element%3B putative methyltransferase YjhP	yjhP
b4307	KpLE2 phage-like element%3B putative acetyltransferase TopAI antitoxin YjhQ	yjhQ
b4566	KpLE2 phage-like element%3B toxin of the TopAI-YjhQ toxin-antitoxin system%2C TopA inhibitor	topAI
b4657	KpLE2 phage-like element%3B putative acetyltransferase YjhZ	yjhZ
b4308	KpLE2 phage-like element%3B PLD-like domain-containing protein YjhR	yjhR
b4309	N-acetyl-9-O-acetylneuraminate esterase	nanS
b4310	N-acetylneuraminate mutarotase	nanM
b4311	N-acetylneuraminic acid outer membrane channel	nanC
b4312	regulator for fimA	fimB
b4313	regulator for fimA	fimE
b4314	type 1 fimbriae major subunit	fimA
b4315	putative fimbrial protein FimI	fimI
b4316	type 1 fimbriae periplasmic chaperone	fimC
b4317	type I fimbriae usher protein	fimD
b4318	type 1 fimbriae minor subunit FimF	fimF
b4319	type 1 fimbriae minor subunit FimG	fimG
b4320	type 1 fimbriae D-mannose specific adhesin	fimH
b4321	fructuronate transporter	gntP
b4322	D-mannonate dehydratase	uxuA
b4323	D-mannonate oxidoreductase	uxuB
b4324	DNA-binding transcriptional repressor UxuR	uxuR
b4325	uncharacterized protein YjiC	yjiC
b4720	protein YtiC	ytiC
b4721	protein YtiD	ytiD
b4722	iraD leader peptide	idlP
b4326	anti-adaptor protein IraD%2C inhibitor of sigma(S) proteolysis	iraD
b4327	DNA-binding transcriptional dual regulator HypT	hypT
b4328	isoaspartyl dipeptidase	iadA
b4329	Gate family protein YjiG	yjiG
b4330	Gate family protein YjiH	yjiH
b4331	RNA 2'-phosphotransferase	kptA
b4332	putative transporter YjiJ	yjiJ
b4333	uncharacterized protein YjiK	yjiK
b4715	uncharacterized protein YtiA	ytiA
b4334	putative ATPase%2C activator of (R)-hydroxyglutaryl-CoA dehdratase	yjiL
b4335	putative dehydratase subunit	yjiM
b4336	DUF445 domain-containing protein YjiN	yjiN
